,0,1,2,3,4,5
2020-11-28,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,0,0,0,0,0,0
2020-12-09,0,0,0,0,0,0
2020-12-10,0,0,0,0,0,0
2020-12-11,0,0,0,0,0,0
2020-12-12,0,0,0,0,0,0
2020-12-13,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0
2020-12-19,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0
2020-12-21,0,7,0,0,0,0
2020-12-22,0,7,0,0,0,0
2020-12-23,0,7,7,7,0,0
2020-12-24,0,14,7,7,0,0
2020-12-25,0,14,7,7,0,0
2020-12-26,0,14,7,7,0,0
2020-12-27,0,14,7,7,0,0
2020-12-28,0,14,7,7,0,0
2020-12-29,0,21,14,7,0,0
2020-12-30,0,21,14,7,0,0
2020-12-31,0,28,14,7,0,0
2021-01-01,0,28,21,7,7,0
2021-01-02,0,28,21,7,7,0
2021-01-03,0,35,21,7,7,0
2021-01-04,0,42,28,14,7,0
2021-01-05,0,49,28,14,7,0
2021-01-06,0,56,28,14,7,0
2021-01-07,0,63,28,14,7,0
2021-01-08,0,70,35,14,14,0
2021-01-09,0,70,35,14,14,0
2021-01-10,0,70,35,14,14,0
2021-01-11,0,77,35,21,14,0
2021-01-12,0,77,35,21,14,0
2021-01-13,0,91,49,28,14,0
2021-01-14,0,112,56,28,21,0
2021-01-15,0,140,70,35,21,0
2021-01-16,0,140,70,35,21,0
2021-01-17,0,140,70,35,21,0
2021-01-18,0,147,77,42,28,7
2021-01-19,7,175,98,56,35,7
2021-01-20,7,224,119,70,42,14
2021-01-21,7,266,147,84,56,21
2021-01-22,14,308,175,119,70,21
2021-01-23,14,315,175,126,77,28
2021-01-24,14,322,182,126,77,28
2021-01-25,14,364,217,147,91,35
2021-01-26,21,427,259,182,126,49
2021-01-27,21,539,308,217,147,63
2021-01-28,21,623,364,273,196,91
2021-01-29,28,749,455,329,238,119
2021-01-30,35,763,462,343,245,119
2021-01-31,35,770,476,343,252,126
2021-02-01,49,952,602,420,308,161
2021-02-02,56,1162,721,518,385,203
2021-02-03,70,1435,889,630,476,259
2021-02-04,77,1708,1071,742,574,308
2021-02-05,105,1988,1274,882,672,364
2021-02-06,105,2072,1316,917,686,378
2021-02-07,112,2093,1330,924,693,378
2021-02-08,133,2471,1547,1106,798,455
2021-02-09,154,2884,1799,1274,889,518
